source_page,source_column,source_store_area_sqm,source_open_year,source_open_month,source_name,corrected_name,corrected_prefecture,corrected_municipality,corrected_open_year,corrected_open_month,address,notes
17,left,4805.0,2007.0,11.0,,イオン長田南ショッピングセンター,兵庫県,神戸市長田区,2007.0,11.0,兵庫県神戸市長田区東尻池新町1-20,google_maps_partial_name_match_preferred; corrected_ocr_name_to_イオン長田南ショッピングセンター; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
7,left,4800.0,1984.0,9.0,,飯田橋セントラルプラザ ラムラ,東京都,新宿区,1984.0,9.0,東京都新宿区神楽河岸1-1,google_maps_name_match_preferred; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
17,right,4800.0,2004.0,10.0,,Clefy三宮(クレフィ三宮),兵庫県,神戸市中央区,2004.0,10.0,兵庫県神戸市中央区三宮町1丁目4-3,google_maps_partial_name_match_preferred; corrected_ocr_name_三3_to_三宮; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
14,left,4794.0,1981.0,12.0,,平和堂祖父江店,愛知県,稲沢市,1981.0,12.0,愛知県稲沢市祖父江町祖父江高熊111,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
12,left,4760.0,2009.0,9.0,,バロー市橋店,岐阜県,岐阜市,2009.0,9.0,岐阜県岐阜市市橋2丁目2-5,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
4,right,4749.0,1987.0,6.0,,ビーンズ武蔵浦和,埼玉県,さいたま市南区,1987.0,6.0,埼玉県さいたま市南区別所7丁目12-1,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
7,left,4739.0,2013.0,4.0,,東京スクエアガーデン ショップ&レストラン,東京都,中央区,2013.0,4.0,東京都中央区京橋3丁目1-1,google_maps_partial_name_match_preferred; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
10,left,4735.0,1998.0,6.0,,相模原イッツ,神奈川県,相模原市中央区,1998.0,6.0,神奈川県相模原市中央区相模原1丁目1-19,google_maps_name_match_preferred; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
6,right,4733.0,1997.0,10.0,,おおたきショッピングプラザ オリブ,千葉県,夷隅郡大多喜町,1997.0,10.0,千葉県夷隅郡大多喜町船子861,google_maps_partial_name_match_preferred; corrected_ocr_name_オリプ_to_オリブ; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
11,left,4710.0,1993.0,10.0,,ショッピング ア・ミュー,富山県,南砺市,1993.0,10.0,富山県南砺市寺家新屋敷366,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
14,left,4697.0,1992.0,4.0,,フィールアスカ,愛知県,尾張旭市,1992.0,4.0,愛知県尾張旭市東大道町原田2525-5,google_maps_partial_name_match_preferred; corrected_ocr_name_アス力_to_アスカ; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
9,left,4688.0,2002.0,4.0,,横浜赤レンガ倉庫2号館,神奈川県,横浜市中区,2002.0,4.0,神奈川県横浜市中区新港1丁目1-2,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
21,left,4688.0,2008.0,11.0,,パセオ野間大池,福岡県,福岡市南区,2008.0,11.0,福岡県福岡市南区柳河内1丁目2-2,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
20,right,4679.0,2005.0,4.0,,四万十ショッピングガーデン,高知県,四万十市,2005.0,4.0,高知県四万十市具同2222,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
7,right,4577.0,2000.0,4.0,,田園調布東急スクエアガーデンサイト 本館,東京都,大田区,2000.0,4.0,東京都大田区田園調布2丁目62-3,google_maps_partial_name_match_preferred; corrected_official_name_to_田園調布東急スクエアガーデンサイト; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
14,right,4563.0,1981.0,10.0,,イオンタウン伊勢ララパーク,三重県,伊勢市,1981.0,10.0,三重県伊勢市小木町曽祢538,google_maps_partial_name_match_preferred; corrected_ocr_name_バーク_to_パーク; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
19,right,4550.0,2013.0,3.0,,プリムールあおい,山口県,山口市,2013.0,3.0,山口県山口市葵1丁目4-70,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
18,right,4533.0,2006.0,9.0,,ラ・ムーショッピングセンター大安寺店,岡山県,岡山市北区,2006.0,9.0,岡山県岡山市北区野殿東町1-55,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
9,right,4513.0,2018.0,7.0,,相鉄ライフやよい台,神奈川県,横浜市泉区,2018.0,7.0,神奈川県横浜市泉区弥生台16-1,google_maps_name_match_preferred; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
4,right,4506.0,2024.0,5.0,,the market Place 武蔵浦和,埼玉県,さいたま市南区,2024.0,5.0,埼玉県さいたま市南区沼影1丁目8-18,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
10,right,4505.0,1994.0,10.0,,PAT AYASE(パット綾瀬),神奈川県,綾瀬市,1994.0,10.0,神奈川県綾瀬市寺尾中1丁目4-70,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
